K,Accuracy
1,88
10,69
20,69
50,68
100,68
150,68
200,67
250,67
300,67
350,67
400,67
450,67
500,67
550,67
600,67
650,67
700,67
750,67
800,67
850,67
900,67
950,67
1000,67
1050,67
1100,67
1150,67
1200,67
1250,67
1300,67
1350,67
1400,67
1450,67
1500,67
1550,67
1600,67
1650,67
1700,67
1750,67
1800,67
1850,67
1900,67
1950,67
2000,67
2050,67
2100,67
2150,67
2200,67
2250,67
2300,67
2350,67
2400,67
2450,67
2500,67
2550,67
2600,67
2650,67
2700,67
2750,67
2800,67
2850,67
2900,67
2950,67
3000,67
3050,67
